feature,importance
MolLogP,0.09112874182969567
MaxAbsPartialCharge,0.058839935832566886
MinPartialCharge,0.055078080974880844
Chi2n,0.05460035388519747
Chi3n,0.049407659517797825
Chi4n,0.04877885550288933
BalabanJ,0.04620926013441184
Kappa3,0.039139824009464745
MolMR,0.03729422358920921
TPSA,0.036079701514412116
MaxPartialCharge,0.03367456543204702
Kappa2,0.03310644823397709
MinAbsPartialCharge,0.03126222270676189
Kappa1,0.029061869256690926
FractionCSP3,0.027964901858868425
NOCount,0.026041714481530313
Chi0,0.025369233003650307
Chi1,0.02527726909538109
BertzCT,0.02472252986601713
HallKierAlpha,0.024114106192806534
LabuteASA,0.024077076908441495
ExactMolWt,0.019820165140806877
MolWt,0.019413704004999432
NumValenceElectrons,0.019152371964384827
NumHeteroatoms,0.018656585459928366
NumHDonors,0.018519694248211045
NumHAcceptors,0.017135502849471036
NumRotatableBonds,0.015364307216351158
NHOHCount,0.015205445072265181
HeavyAtomCount,0.01282528272779056
NumAromaticRings,0.007973937447531106
RingCount,0.007439976930852526
NumAliphaticRings,0.007264453110709627
